numer,denom,倒数分解法
50079211684888210201084581326158417871756841995277543901250183976661087880288886512007661312288332256975298814894933055658684244166482563284550043486156741000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2208493235303570069867830036483586228144476731991739686045133113370753975520739895179537863871915452532610677736866547754547975167741881040848656917739512278100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
10516634453826524142227762078493267753068936819008284219262538635098828454860666167521608875580549773964812751127935941688323691274961338289755509132092915610000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,463783579413749714672244307661553107910340113718265334069477953807858334859355377987702951413102245031848242324741975028455074785225795018578217952725297578401000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
2208493235303570069867830036483586228144476731991739686045133113370753975520739895179537863871915452532610677736866547754547975167741881040848656917739512278100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,97394551676887440081171304608926152661171423880835720154590370299650250320464629377417619796751471456688130888195814755975565704897416953901425770072312491464210000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
463783579413749714672244307661553107910340113718265334069477953807858334859355377987702951413102245031848242324741975028455074785225795018578217952725297578401000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,20452855852146362417045973967874492058845999014975501232463977762926552567297572169257700157317809005904507486521121098754868798028457560319299411715185623207484100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
97394551676887440081171304608926152661171423880835720154590370299650250320464629377417619796751471456688130888195814755975565704897416953901425770072312491464210000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4295099728950736107579654533253643332357659793144855258817435330214576039132490155544117033036739891239946572169435430738522447585976087667052876460188980873571661000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
20452855852146362417045973967874492058845999014975501232463977762926552567297572169257700157317809005904507486521121098754868798028457560319299411715185623207484100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,901970943079654582591727451983265099795108556560419604351661419345060968217822932664264576937715377160388780155581440455089713993054978410081104056639685983450048810000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
4295099728950736107579654533253643332357659793144855258817435330214576039132490155544117033036739891239946572169435430738522447585976087667052876460188980873571661000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,189413898046727462344262764916485670956972796877688116913848898062462803325742815859495561156920229203681643832672102495568839938541545466117031851894334056524510250100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
901970943079654582591727451983265099795108556560419604351661419345060968217822932664264576937715377160388780155581440455089713993054978410081104056639685983450048810000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,39776918589812767092295180632461990900964287344314504551908268593117188698405991330494067842953248132773145204861141524069456387093724547884576688897810151870147152521000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
189413898046727462344262764916485670956972796877688116913848898062462803325742815859495561156920229203681643832672102495568839938541545466117031851894334056524510250100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8353152903860681089381987932817018089202500342306045955900736404554609626665258179403754247020182107882360493020839720054585841289682155055761104668540131892730902029410000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
39776918589812767092295180632461990900964287344314504551908268593117188698405991330494067842953248132773145204861141524069456387093724547884576688897810151870147152521000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1754162109810743028770217465891573798732525071884269650739154644956468021599704217674788391874238242655295703534376341211463026670833252561709831980393427697473489426176100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
8353152903860681089381987932817018089202500342306045955900736404554609626665258179403754247020182107882360493020839720054585841289682155055761104668540131892730902029410000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,368374043060256036041745667837230497733830265095696626655222475440858284535937885711705562293590030957612097742219031654407235600874983037959064715882619816469432779496981000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
1754162109810743028770217465891573798732525071884269650739154644956468021599704217674788391874238242655295703534376341211463026670833252561709831980393427697473489426176100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,77358549042653767568766590245818404524104355670096291597596719842580239752546955999458168081653906501098540525865996647425519476183746437971403590335350161458580883694366010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
368374043060256036041745667837230497733830265095696626655222475440858284535937885711705562293590030957612097742219031654407235600874983037959064715882619816469432779496981000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,16245295298957291189440983951621864950061914690720221235495311166941850348034860759886215297147320365230693510431859295959359089998586751973994753970423533906301985575816862100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
